Time,Open,High,Low,Close,Tick_Volume,Spread,Real_Volume
2023-05-11 21:00:00,2013.87,2015.11,2013.4,2014.39,4858,24,0
2023-05-11 22:00:00,2014.4,2016.5,2013.41,2014.15,4271,24,0
2023-05-11 23:00:00,2014.17,2015.08,2013.68,2014.9,1616,24,0
2023-05-12 01:00:00,2014.4,2016.41,2014.23,2015.84,1145,34,0
2023-05-12 02:00:00,2015.85,2016.5,2015.22,2016.22,1177,34,0
2023-05-12 03:00:00,2016.2,2017.42,2014.88,2015.73,2825,34,0
2023-05-12 04:00:00,2015.71,2016.24,2010.68,2011.9,5174,34,0
2023-05-12 05:00:00,2011.92,2012.68,2008.46,2010.58,4555,34,0
2023-05-12 06:00:00,2010.59,2012.22,2009.87,2011.52,4145,34,0
2023-05-12 07:00:00,2011.53,2012.19,2010.8,2011.76,1843,34,0
2023-05-12 08:00:00,2011.76,2011.96,2008.05,2009.43,2948,36,0
2023-05-12 09:00:00,2009.44,2011.52,2005.58,2009.69,5472,24,0
2023-05-12 10:00:00,2009.81,2012.51,2007.93,2008.69,4861,24,0
2023-05-12 11:00:00,2008.7,2009.69,2005.47,2006.56,4916,24,0
2023-05-12 12:00:00,2006.55,2006.98,2000.8,2002.71,4798,24,0
2023-05-12 13:00:00,2002.75,2007.62,2002.54,2005.98,4325,24,0
2023-05-12 14:00:00,2006.07,2006.07,2002.55,2004.67,4011,24,0
2023-05-12 15:00:00,2004.65,2015.72,2003.44,2014.08,6632,24,0
2023-05-12 16:00:00,2014.07,2022.43,2012.74,2019.98,7874,24,0
2023-05-12 17:00:00,2019.99,2021.34,2010.05,2011.13,8458,24,0
2023-05-12 18:00:00,2011.22,2012.22,2008.91,2009.44,5248,24,0
2023-05-12 19:00:00,2009.36,2013.51,2008.32,2013.51,4633,24,0
2023-05-12 20:00:00,2013.52,2016.33,2013.25,2014.39,3827,24,0
2023-05-12 21:00:00,2014.41,2015.61,2013.78,2014.31,3519,24,0
2023-05-12 22:00:00,2014.3,2014.58,2010.62,2010.73,3010,24,0
2023-05-15 01:00:00,2007.88,2011.82,2007.03,2010.82,1346,34,0
2023-05-15 02:00:00,2010.81,2010.85,2009.22,2009.48,1020,34,0
2023-05-15 03:00:00,2009.4,2011.94,2008.6,2011.83,2411,34,0
2023-05-15 04:00:00,2011.86,2018.74,2011.86,2017.41,5165,34,0
2023-05-15 05:00:00,2017.48,2017.72,2013.17,2013.33,4308,34,0
2023-05-15 06:00:00,2013.39,2014.85,2013.09,2013.87,2367,34,0
2023-05-15 07:00:00,2013.86,2014.54,2013.32,2014.11,1489,34,0
2023-05-15 08:00:00,2014.1,2019.07,2013.09,2016.73,4194,34,0
2023-05-15 09:00:00,2016.69,2016.94,2013.58,2016.44,4599,24,0
2023-05-15 10:00:00,2016.43,2019.97,2016.31,2018.32,4416,24,0
2023-05-15 11:00:00,2018.29,2020.81,2016.98,2017.27,3958,24,0
2023-05-15 12:00:00,2017.26,2017.67,2014.93,2016.27,2938,24,0
2023-05-15 13:00:00,2016.28,2016.85,2014.27,2014.51,2830,24,0
2023-05-15 14:00:00,2014.62,2015.74,2011.86,2012.98,3813,24,0
2023-05-15 15:00:00,2013.0,2019.15,2011.45,2017.01,5913,24,0
2023-05-15 16:00:00,2017.01,2022.04,2014.3,2020.74,6689,24,0
2023-05-15 17:00:00,2020.74,2021.13,2013.26,2015.17,6148,24,0
2023-05-15 18:00:00,2015.14,2018.36,2014.08,2017.61,4407,24,0
2023-05-15 19:00:00,2017.61,2020.25,2017.05,2020.16,3549,24,0
2023-05-15 20:00:00,2020.14,2021.32,2016.73,2018.09,3556,24,0
2023-05-15 21:00:00,2018.13,2018.28,2014.61,2014.75,2977,24,0
2023-05-15 22:00:00,2014.72,2015.78,2014.33,2014.94,2160,24,0
2023-05-15 23:00:00,2014.98,2016.3,2014.98,2016.27,887,24,0
2023-05-16 01:00:00,2015.09,2016.5,2015.09,2015.85,741,34,0
2023-05-16 02:00:00,2015.83,2015.83,2013.58,2014.35,1036,34,0
2023-05-16 03:00:00,2014.35,2015.67,2014.09,2015.59,2231,34,0
2023-05-16 04:00:00,2015.58,2018.18,2015.21,2017.54,3938,34,0
2023-05-16 05:00:00,2017.52,2017.53,2014.67,2016.88,3533,34,0
2023-05-16 06:00:00,2016.87,2018.02,2016.34,2016.82,2010,34,0
2023-05-16 07:00:00,2016.83,2016.83,2015.77,2016.1,1492,34,0
2023-05-16 08:00:00,2016.11,2017.57,2012.28,2012.57,3744,34,0
2023-05-16 09:00:00,2012.58,2012.96,2002.57,2007.06,6180,24,0
2023-05-16 10:00:00,2007.06,2010.29,2005.89,2009.99,4875,24,0
2023-05-16 11:00:00,2009.96,2010.22,2008.82,2010.04,4171,24,0
2023-05-16 12:00:00,2010.04,2010.14,2008.72,2009.47,3428,24,0
2023-05-16 13:00:00,2009.47,2010.01,2007.5,2008.13,2998,24,0
2023-05-16 14:00:00,2008.17,2009.25,2005.04,2005.42,3987,24,0
2023-05-16 15:00:00,2005.39,2014.82,2001.1,2011.97,7823,24,0
2023-05-16 16:00:00,2011.89,2012.4,2007.0,2007.5,8960,24,0
2023-05-16 17:00:00,2007.55,2008.35,2001.83,2003.18,7437,24,0
2023-05-16 18:00:00,2003.18,2003.61,1994.55,1995.91,7948,24,0
2023-05-16 19:00:00,1995.91,1997.0,1987.4,1987.51,6273,24,0
2023-05-16 20:00:00,1987.51,1989.96,1985.39,1986.74,5309,24,0
2023-05-16 21:00:00,1986.77,1991.13,1986.77,1990.68,4489,24,0
2023-05-16 22:00:00,1990.69,1991.11,1989.46,1989.86,3965,24,0
2023-05-16 23:00:00,1989.85,1991.06,1988.43,1988.77,2080,24,0
2023-05-17 01:00:00,1988.35,1990.01,1987.89,1989.87,880,26,0
2023-05-17 02:00:00,1989.88,1989.88,1988.74,1989.54,983,34,0
2023-05-17 03:00:00,1989.62,1992.87,1989.59,1991.98,2160,34,0
2023-05-17 04:00:00,1991.95,1992.89,1989.81,1992.55,5302,34,0
2023-05-17 05:00:00,1992.54,1992.89,1990.68,1992.64,3493,34,0
2023-05-17 06:00:00,1992.64,1992.7,1991.04,1991.16,2270,25,0
2023-05-17 07:00:00,1991.2,1992.0,1990.64,1991.33,1690,26,0
2023-05-17 08:00:00,1991.33,1991.64,1987.58,1987.7,3521,34,0
2023-05-17 09:00:00,1987.66,1989.41,1986.6,1988.74,4184,24,0
2023-05-17 10:00:00,1988.71,1990.5,1987.53,1987.61,4307,24,0
2023-05-17 11:00:00,1987.59,1989.05,1985.86,1986.07,3965,24,0
2023-05-17 12:00:00,1986.05,1986.07,1983.82,1983.9,4160,24,0
2023-05-17 13:00:00,1983.89,1988.83,1983.63,1988.06,3808,24,0
2023-05-17 14:00:00,1988.08,1988.59,1986.4,1987.35,3151,24,0
2023-05-17 15:00:00,1987.35,1987.78,1981.75,1984.79,6072,24,0
2023-05-17 16:00:00,1984.8,1987.89,1976.42,1977.63,8410,24,0
2023-05-17 17:00:00,1977.53,1985.23,1974.94,1982.87,7538,24,0
2023-05-17 18:00:00,1982.92,1983.29,1979.52,1980.39,5787,24,0
2023-05-17 19:00:00,1980.34,1984.25,1980.01,1983.77,5372,24,0
2023-05-17 20:00:00,1983.84,1984.42,1980.32,1981.47,5554,24,0
2023-05-17 21:00:00,1981.45,1984.49,1981.04,1983.87,4540,24,0
2023-05-17 22:00:00,1983.85,1984.43,1982.01,1982.92,3689,24,0
2023-05-17 23:00:00,1982.95,1983.1,1981.32,1981.44,1164,24,0
2023-05-18 01:00:00,1981.38,1983.47,1980.45,1982.9,938,26,0
2023-05-18 02:00:00,1982.87,1983.4,1982.35,1982.67,701,26,0
2023-05-18 03:00:00,1982.66,1983.62,1981.87,1983.43,1843,26,0
2023-05-18 04:00:00,1983.37,1985.07,1982.44,1984.95,4111,34,0
2023-05-18 05:00:00,1985.02,1985.86,1983.42,1984.0,2939,34,0
2023-05-18 06:00:00,1983.99,1984.29,1981.25,1982.15,2765,34,0
2023-05-18 07:00:00,1982.14,1982.66,1979.38,1979.74,2041,34,0
2023-05-18 08:00:00,1979.76,1979.79,1977.36,1978.08,3810,34,0
2023-05-18 09:00:00,1978.06,1981.4,1977.17,1977.37,4483,24,0
2023-05-18 10:00:00,1977.27,1979.31,1973.49,1974.46,4569,24,0
2023-05-18 11:00:00,1974.46,1976.14,1972.14,1975.26,4440,24,0
2023-05-18 12:00:00,1975.31,1978.0,1975.09,1977.31,3339,24,0
2023-05-18 13:00:00,1977.31,1978.82,1976.51,1976.96,3102,24,0
2023-05-18 14:00:00,1976.96,1976.98,1973.72,1974.08,3505,24,0
2023-05-18 15:00:00,1974.07,1975.28,1966.13,1966.94,7047,24,0
2023-05-18 16:00:00,1966.97,1968.12,1956.52,1959.84,9259,24,0
2023-05-18 17:00:00,1959.93,1961.93,1954.33,1955.25,7554,24,0
2023-05-18 18:00:00,1955.3,1956.75,1951.88,1955.95,7183,24,0
2023-05-18 19:00:00,1955.99,1957.77,1954.06,1955.59,5946,24,0
2023-05-18 20:00:00,1955.6,1958.48,1953.87,1958.42,5507,24,0
2023-05-18 21:00:00,1958.44,1958.84,1955.41,1956.22,3786,24,0
2023-05-18 22:00:00,1956.21,1957.67,1955.09,1957.19,3628,24,0
2023-05-18 23:00:00,1957.21,1957.55,1956.77,1957.33,1037,24,0
2023-05-19 01:00:00,1957.28,1958.83,1957.17,1958.48,676,24,0
2023-05-19 02:00:00,1958.48,1959.09,1957.84,1958.35,830,24,0
2023-05-19 03:00:00,1958.37,1959.66,1957.13,1957.58,2131,24,0
2023-05-19 04:00:00,1957.57,1960.3,1953.96,1957.05,4511,24,0
2023-05-19 05:00:00,1957.02,1963.24,1955.88,1962.74,2854,24,0
2023-05-19 06:00:00,1962.74,1963.62,1961.93,1963.22,3015,24,0
2023-05-19 07:00:00,1963.21,1964.11,1961.89,1962.48,1976,24,0
2023-05-19 08:00:00,1962.5,1963.88,1960.58,1962.61,3350,24,0
2023-05-19 09:00:00,1962.62,1968.68,1961.56,1964.35,4112,24,0
2023-05-19 10:00:00,1964.37,1967.78,1964.25,1966.85,3853,24,0
2023-05-19 11:00:00,1966.83,1967.28,1964.34,1964.61,3968,24,0
2023-05-19 12:00:00,1964.63,1968.17,1964.31,1967.64,3594,24,0
2023-05-19 13:00:00,1967.64,1967.85,1963.42,1965.54,3766,24,0
2023-05-19 14:00:00,1965.55,1965.8,1962.24,1963.63,4344,24,0
2023-05-19 15:00:00,1963.56,1964.7,1960.26,1960.8,5782,24,0
2023-05-19 16:00:00,1960.72,1963.76,1957.84,1960.9,7573,24,0
2023-05-19 17:00:00,1960.95,1961.86,1957.06,1958.44,6401,24,0
2023-05-19 18:00:00,1958.42,1984.08,1958.01,1974.7,9879,24,0
2023-05-19 19:00:00,1974.76,1979.17,1973.1,1978.26,6601,24,0
2023-05-19 20:00:00,1978.27,1983.17,1977.16,1982.81,5008,24,0
2023-05-19 21:00:00,1982.86,1983.14,1976.73,1976.86,3561,24,0
2023-05-19 22:00:00,1976.87,1977.28,1974.2,1976.15,3934,24,0
2023-05-22 01:00:00,1976.85,1981.21,1976.85,1980.03,1429,34,0
2023-05-22 02:00:00,1980.0,1981.37,1979.23,1980.72,1102,34,0
2023-05-22 03:00:00,1980.73,1981.23,1978.28,1980.87,2741,34,0
2023-05-22 04:00:00,1980.98,1982.29,1978.3,1980.17,5213,34,0
2023-05-22 05:00:00,1980.15,1980.15,1976.19,1977.99,4154,34,0
2023-05-22 06:00:00,1977.99,1978.99,1976.58,1977.78,3077,34,0
2023-05-22 07:00:00,1977.79,1978.66,1975.8,1976.18,1767,34,0
2023-05-22 08:00:00,1976.17,1976.2,1972.18,1972.98,3861,34,0
2023-05-22 09:00:00,1973.0,1976.78,1971.14,1976.29,4779,24,0
2023-05-22 10:00:00,1976.21,1978.55,1974.28,1976.77,4642,24,0
2023-05-22 11:00:00,1976.73,1980.71,1975.09,1980.67,4184,24,0
2023-05-22 12:00:00,1980.68,1982.49,1979.17,1979.62,3496,24,0
2023-05-22 13:00:00,1979.65,1981.33,1977.55,1978.08,3438,24,0
2023-05-22 14:00:00,1978.06,1978.8,1969.7,1972.87,4637,24,0
2023-05-22 15:00:00,1972.88,1978.48,1972.56,1975.41,6634,24,0
2023-05-22 16:00:00,1975.43,1975.86,1971.25,1971.48,7448,24,0
2023-05-22 17:00:00,1971.45,1978.61,1968.82,1973.27,8695,24,0
2023-05-22 18:00:00,1973.3,1974.5,1970.8,1972.4,5170,24,0
2023-05-22 19:00:00,1972.4,1975.42,1972.35,1974.47,4489,24,0
2023-05-22 20:00:00,1974.46,1978.83,1973.95,1974.94,5250,24,0
2023-05-22 21:00:00,1974.9,1975.75,1972.38,1972.94,3520,24,0
2023-05-22 22:00:00,1972.94,1973.77,1971.62,1972.06,2717,24,0
2023-05-22 23:00:00,1972.02,1972.48,1971.42,1971.57,1142,24,0
2023-05-23 01:00:00,1971.23,1972.46,1970.91,1971.25,800,34,0
2023-05-23 02:00:00,1971.21,1971.63,1969.52,1969.7,1364,34,0
2023-05-23 03:00:00,1969.71,1971.66,1966.69,1967.13,2915,34,0
2023-05-23 04:00:00,1967.11,1968.44,1960.21,1960.27,5831,34,0
2023-05-23 05:00:00,1960.29,1964.16,1960.14,1963.66,4285,34,0
2023-05-23 06:00:00,1963.62,1964.03,1960.31,1962.69,3514,34,0
2023-05-23 07:00:00,1962.64,1964.27,1962.39,1963.25,2573,34,0
2023-05-23 08:00:00,1963.23,1963.55,1959.46,1960.88,3703,34,0
2023-05-23 09:00:00,1960.97,1964.5,1959.44,1962.3,4528,24,0
2023-05-23 10:00:00,1962.2,1962.3,1955.39,1957.07,5604,24,0
2023-05-23 11:00:00,1957.11,1960.61,1954.16,1959.78,4934,24,0
2023-05-23 12:00:00,1959.75,1961.25,1956.86,1956.97,3536,24,0
2023-05-23 13:00:00,1956.94,1958.88,1954.4,1958.2,4595,24,0
2023-05-23 14:00:00,1958.21,1960.06,1957.12,1958.87,4192,24,0
2023-05-23 15:00:00,1958.83,1962.6,1957.67,1958.73,6544,24,0
2023-05-23 16:00:00,1958.77,1973.18,1958.77,1969.63,9780,24,0
2023-05-23 17:00:00,1969.62,1973.46,1966.46,1968.67,8339,24,0
2023-05-23 18:00:00,1968.67,1968.87,1964.27,1967.32,6466,24,0
2023-05-23 19:00:00,1967.29,1974.57,1966.2,1973.03,7006,24,0
2023-05-23 20:00:00,1973.11,1975.07,1971.41,1974.91,6540,24,0
2023-05-23 21:00:00,1974.85,1977.61,1973.87,1976.15,6591,24,0
2023-05-23 22:00:00,1976.1,1976.4,1974.3,1974.73,4981,24,0
2023-05-23 23:00:00,1974.81,1975.25,1974.23,1974.85,1136,24,0
2023-05-24 01:00:00,1974.64,1977.01,1974.33,1976.78,965,34,0
2023-05-24 02:00:00,1976.8,1977.16,1974.53,1974.92,1222,34,0
2023-05-24 03:00:00,1974.95,1976.9,1974.5,1974.95,2128,34,0
2023-05-24 04:00:00,1974.95,1975.94,1972.97,1973.73,4649,34,0
2023-05-24 05:00:00,1973.75,1974.87,1972.74,1973.18,3583,34,0
2023-05-24 06:00:00,1973.15,1976.43,1972.63,1976.4,2733,34,0
2023-05-24 07:00:00,1976.37,1978.59,1976.14,1977.52,2125,34,0
2023-05-24 08:00:00,1977.57,1980.44,1976.83,1979.34,3259,34,0
2023-05-24 09:00:00,1979.39,1979.81,1971.05,1971.74,4651,24,0
2023-05-24 10:00:00,1971.68,1976.29,1970.62,1973.88,5044,24,0
2023-05-24 11:00:00,1973.88,1977.62,1973.46,1976.25,4240,24,0
2023-05-24 12:00:00,1976.25,1977.1,1973.9,1976.01,3848,24,0
2023-05-24 13:00:00,1975.99,1977.21,1974.04,1976.62,3815,24,0
2023-05-24 14:00:00,1976.62,1981.96,1976.17,1981.85,4201,24,0
2023-05-24 15:00:00,1981.86,1985.18,1978.43,1979.81,6683,24,0
2023-05-24 16:00:00,1979.81,1980.78,1971.39,1972.55,7866,24,0
2023-05-24 17:00:00,1972.48,1972.77,1966.52,1969.39,8114,24,0
